ORIGIN,AIRLINE,Year,flights,delayed,avg_delay,connections,pct_delayed,AIRPORT,ORIGIN_CITY,STATE,LATITUDE,LONGITUDE
ABQ,United Air Lines Inc.,2019,91,18,76.61111111111111,"['SFO', 'DEN', 'IAH', 'ORD']",19.78021978021978,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABR,SkyWest Airlines Inc.,2019,68,12,130.83333333333334,['MSP'],17.647058823529413,Aberdeen Regional,Aberdeen,SD,45.44905556,-98.42183333
ABY,SkyWest Airlines Inc.,2019,94,9,82.33333333333333,['ATL'],9.574468085106384,Southwest Georgia Regional,Albany,GA,31.535515,-84.19447333
ACK,Endeavor Air Inc.,2019,4,1,18.0,['LGA'],25.0,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,JetBlue Airways,2019,92,26,139.65384615384616,"['LGA', 'BOS', 'HPN', 'DCA', 'JFK']",28.26086956521739,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,Republic Airline,2019,13,2,25.5,"['LGA', 'CLT', 'DCA']",15.384615384615385,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACT,Envoy Air,2019,186,32,95.8125,['DFW'],17.20430107526882,Waco Regional,Waco,TX,31.61128833,-97.23051917
ACT,SkyWest Airlines Inc.,2019,2,1,100.0,['DFW'],50.0,Waco Regional,Waco,TX,31.61128833,-97.23051917
ACV,SkyWest Airlines Inc.,2019,208,43,133.86046511627907,"['LAX', 'SFO', 'DEN']",20.673076923076923,Arcata,Arcata/Eureka,CA,40.97811528,-124.1086189
ACY,Spirit Air Lines,2019,308,35,64.42857142857143,"['PBI', 'TPA', 'RSW', 'ATL', 'MCO', 'FLL', 'MYR']",11.363636363636363,Atlantic City International,Atlantic City,NJ,39.45758333,-74.57716667
ADK,Alaska Airlines Inc.,2019,7,2,41.0,['ANC'],28.57142857142857,Adak,Adak,AK,51.87796389,-176.6460306
ADQ,Alaska Airlines Inc.,2019,50,10,43.8,['ANC'],20.0,Kodiak,Kodiak,AK,57.74996778,-152.4938553
AEX,Endeavor Air Inc.,2019,147,19,69.36842105263158,['ATL'],12.925170068027212,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AEX,Envoy Air,2019,117,20,62.35,['DFW'],17.094017094017094,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AEX,ExpressJet Airlines LLC d/b/a aha!,2019,101,29,63.51724137931034,['IAH'],28.71287128712871,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
